Title,Chapter,Position,Reader URL,Quote,Quote URL,Note,Created,Tags,Color,Quote Image URL
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,39.81851421998089,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|23303,"Negotiate for Resources
As you seek commitments for resources, keep these principles of effective negotiation in mind.

Focus on underlying interests. Probe as deeply as possible to understand the agendas of your boss and any others from whom you need to secure resources. What is in it for them?
Look for mutually beneficial exchanges. Seek resources that both support your boss’s agenda and advance your own. Look for ways to help peers advance their agendas in return for help with yours.
Link resources to results. Highlight the performance benefits that will result if more resources are dedicated to your unit. Create the menu described earlier, laying out what you can achieve (and cannot achieve) with current resources and what different-sized increments would allow you to do.




",https://www.bookfusion.com/quote/1641427-9fa9b2d9,,2024-04-29 22:31:20 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.05654098579542,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|24230," In the style conversation, your agenda is to determine how you and your boss can best work together on a continuing basis.",https://www.bookfusion.com/quote/1642251-ac334c73,,2024-04-30 07:50:20 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.15103273317379,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|24598,"Diagnose Your Boss’s Style
The first step is to diagnose your new boss’s working style and figure out how it jibes with your own. If you leave messages for her about an urgent problem, and she doesn’t respond quickly but then reproaches you for not giving her a heads-up about the problem, take note: your boss doesn’t use that mode of communication!",https://www.bookfusion.com/quote/1642252-14c9650c,,2024-04-30 07:51:07 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.241159372656966,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|24949,"How does your boss like to communicate? How often? What kinds of decisions does he want to be involved in, and when can you make calls on your own? Does your boss arrive at the office early and work late? Does he expect others to do the same?
Pinpoint the specific ways in which your styles differ, and assess what those differences imply about how you will interact.",https://www.bookfusion.com/quote/1642254-fffe9cf3,,2024-04-30 07:51:55 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.4301428674137,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|25685,"You may find it helpful to talk to others who have worked with your boss in the past. Naturally, you must do this judiciously. Be careful not to be perceived as eliciting criticism of how the boss leads. Stick to less fraught issues, such as how the boss prefers to communicate.",https://www.bookfusion.com/quote/1642256-17f3595a,,2024-04-30 07:52:44 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.526432012160676,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|26060,"Observe, too, how your boss deals with others. Is there consistency? If not, why not? Does the boss have favorites? Is he particularly prone to micromanaging certain issues? Has he come down hard on a few people because of unacceptable performance?",https://www.bookfusion.com/quote/1642259-03893f7f,,2024-04-30 07:53:08 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.82377289113934,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|27218,"Adapt to Your Boss’s Style
Assume that the job of building a positive relationship with your new boss is 100 percent your responsibility. In short, this means adapting to his style. If your boss hates voice messages, don’t leave them. If he wants to know in detail what is going on, overcommunicate",https://www.bookfusion.com/quote/1642261-6073eaca,,2024-04-30 07:53:49 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,40.95113133325801,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|27714,"Others who have worked with your boss can tell you what approaches they found successful. Then judiciously experiment with the tactics that seem most promising in your case. When in doubt, simply ask your boss how he would prefer you to proceed.",https://www.bookfusion.com/quote/1642265-2e5dba81,,2024-04-30 07:54:47 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,41.592031880693895,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|30210,"It’s especially critical that you do this when you’re making key career passages. If you’re a first-time manager, get into the habit early of asking your boss for feedback and help in developing your supervisory skills. Your willingness to seek candid feedback on your strengths and weaknesses—and, critically, your ability to act on the feedback—sends a powerful message.",https://www.bookfusion.com/quote/1642266-a01bbc26,,2024-04-30 07:55:55 UTC,"",#FED000,
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",4. Negotiate Success,41.724012201760424,https://reader.bookfusion.com/books/4306007-the-first-90-days-updated-and-expanded-proven-strategies-for-getting-up-to-speed-faster-and-smarter?type=epub_reflowable#10|30724,"Whenever you are at a point in your career when success demands a different set of skills and attitudes, discipline yourself to be open to learning from others who have gone before you.",https://www.bookfusion.com/quote/1642316-9a86d57e,,2024-04-30 08:30:45 UTC,"",#FED000,
